piel	pierna	brazo	porcentaje
19.50	43.10	29.10	11.90
24.70	49.80	28.20	22.80
30.70	51.90	37.00	18.70
29.80	54.30	31.10	20.10
19.10	42.20	30.90	12.90
25.60	53.90	23.70	21.70
31.40	58.50	27.60	27.10
27.90	52.10	30.60	25.40
22.10	49.90	23.20	21.30
25.50	53.50	24.80	19.30
31.10	56.60	30.00	25.40
30.40	56.70	28.30	27.20
18.70	46.50	23.00	11.70
19.70	44.20	28.60	17.80
14.60	42.70	21.30	12.80
29.50	54.40	30.10	23.90
27.70	55.30	25.70	22.60
30.20	58.60	24.60	25.40
22.70	48.20	27.10	14.80
25.20	51.00	27.50	21.10
